This file is just for reference. It's not needed to convert the samples.

Sample #	Hex	Dec	Length	Name
1	13B0C 	80652	80652	lift1
2	22EF8 	143096	62444	straight-running
3	328A0 	207008	63912	running-fast
4	56DC8 	355784	148776	scream1 
5	57464	357476	1692	click1
6	5769C 	358044	568	click2
7	57BBC 	359356	1312	place-item
8	71228	463400	104044	scream2
9	88C70 	560240	96840	scream3
10	AFD38 	720184	159944	scream4
11	DA768 	894824	174640	scream5
12	10DAE4 	1104612	209788	scream6
13	118878	1149048	44436	lift2
14	11EBBC 	1174460	25412	kaching
15	151390	1381264	206804	crash
16	15606C 	1400940	19676	water1
17	16270C 	1451788	50848	water2
18	16C3F4 	1491956	40168	water3
19	190C44	1641540	149584	train-whistle
20	1c8918	1870104	228564	train-departing
21	1deae0	1960672	90568	splash
22	1E18E0	1972448	11776	go-kart-engine
23	1ECA54	2017876	45428	launch1
24	1FD77C	2086780	68904	launch2
25	206F98	2125720	38940	cough1
26	20F49C	2159772	34052	cough2
27	215848	2185288	25516	cough3
28		2214464	29176	cough4
29	27F1B8	2617784	403320	rain1
	Shifted offset	Dec	Length	Name
30	2738768	2738512	120728	thunder1
31	2944460	2944204	205692	thunder2
32	3038736	3038480	94276	rain2
33	3122236	3121980	83500	rain3
34	3132852	3132596	10616	balloon-pop
35	3148060	3147804	15208	hammer
36	3261472	3261216	113412	scream7
37	3379860	3379604	118388	toilet-flush
38	3382228	3381972	2368	click3
39	3413392	3413136	31164	duck-quack
40	3423356	3423100	9964	message
41	3431572	3431316	8216	open-window
42	3456860	3456604	25288	laugh1
43	3485152	3484896	28292	laugh2
44	3522940	3522684	37788	laugh3
45	4405740	4405484	882800	won-scenario
46	4547356	4547100	141616	haunted-house1
47	4590592	4590336	43236	haunted-house2
48	4651296	4651040	60704	cry1
49	4668540	4668284	17244	brake1
50	4687000	4686744	18460	brake2
51	4690004	4689748	3004	error
52	4701112	4700856	11108	brake3
53	4775148	4774892	74036	lift3
54	4853976	4853720	78828	lift4-woodenrc
55	4911208	4910952	57232	woodenrc-running
56	4977228	4976972	66020	lift5-steelmouse
57	5170240	5169984	193012	lift6-b&m
58	5273696	5273440	103456	running-straight-b&m
59	5352604	5352348	78908	cry2
60	5394236	5393980	41632	tram
61	5406800	5406544	12564	door1
62	5419364	5419108	12564	door2
